Znak,P1_1,P1_2,P2_1,P2_2,P3_1,P3_2,P4_1,P4_2,P5_1,P5_2
a,26700,11117,14709,16123,13959,16600,25382,14328,11700,15202
a,26700,11144,14764,16218,14021,16662,25372,14378,11737,15226
a,26699,10380,14998,16534,14661,16776,25437,14885,12034,15589
a,26699,10382,15000,16533,14663,16778,25438,14889,12036,15589
a,26699,10384,15008,16536,14671,16780,25420,14881,12028,15580
a,26699,10369,14926,16526,14522,16764,25395,14823,11995,15581
a,26699,11110,14677,16090,13923,16576,25379,14298,11680,15186
a,26699,11150,14913,16289,14266,16712,25482,14561,11810,15381
a,26699,11182,14964,16299,14394,16730,25405,14602,11867,15337
a,26698,10316,15009,16532,14633,16781,25474,14908,12043,15606
a,26698,10320,15010,16531,14631,16781,25479,14911,12047,15609
a,26698,10328,15011,16531,14634,16782,25484,14915,12049,15611
a,26698,10339,15014,16534,14638,16784,25470,14908,12046,15607
a,26698,10340,15014,16533,14637,16786,25473,14910,12046,15605
a,26698,10341,15015,16535,14640,16786,25471,14909,12045,15604
a,26698,10344,15018,16536,14646,16787,25465,14905,12042,15600
a,26698,10347,15018,16536,14645,16786,25464,14905,12042,15600
a,26698,10355,15022,16541,14651,16790,25455,14899,12039,15593
a,26698,10371,15027,16542,14662,16792,25445,14897,12039,15590
a,26698,10390,15010,16538,14673,16782,25410,14874,12025,15577
a,26698,10391,15008,16539,14672,16783,25404,14869,12021,15572
a,26698,10392,15009,16537,14673,16784,25405,14871,12022,15571
a,26698,10394,15008,16541,14672,16784,25397,14865,12019,15567
a,26698,10369,14927,16528,14523,16766,25400,14825,11998,15582
a,26698,10378,14937,16536,14528,16769,25401,14826,11999,15584
a,26698,11149,14907,16286,14259,16709,25482,14554,11797,15375
a,26698,11151,14912,16288,14263,16710,25477,14554,11803,15377
a,26698,11151,14918,16291,14276,16716,25492,14573,11827,15388
a,26698,11180,14956,16300,14341,16729,25447,14600,11866,15372
a,26697,10327,15010,16529,14632,16783,25476,14911,12047,15608
a,26697,10335,15012,16532,14634,16785,25472,14907,12045,15605
a,26697,10346,15020,16537,14646,16786,25454,14900,12038,15596
a,26697,10352,15022,16539,14651,16789,25453,14900,12041,15596
a,26697,10362,15023,16542,14657,16790,25450,14898,12038,15594
a,26697,10363,15023,16543,14657,16790,25446,14897,12038,15590
a,26697,10366,15024,16542,14658,16791,25444,14895,12038,15591
a,26697,10372,15028,16543,14664,16792,25439,14895,12035,15589
a,26697,10373,15008,16535,14655,16771,25442,14891,12035,15592
a,26697,10376,14998,16531,14659,16774,25436,14885,12036,15589
a,26697,10384,15005,16536,14665,16780,25428,14884,12033,15587
a,26697,10386,15009,16535,14671,16781,25419,14878,12028,15580
a,26697,10386,14965,16533,14587,16762,25400,14830,11991,15575
a,26697,10379,14938,16530,14538,16763,25397,14821,11992,15579
a,26697,10372,14928,16525,14523,16763,25390,14815,11989,15575
a,26697,11109,14693,16109,13940,16591,25383,14313,11696,15195
a,26697,11121,14722,16137,13974,16604,25383,14345,11709,15206
a,26697,11142,14894,16281,14240,16703,25466,14527,11781,15355
a,26697,11155,14922,16293,14278,16717,25485,14575,11834,15394
a,26697,11159,14931,16300,14290,16721,25486,14582,11845,15392
a,26696,10312,15007,16530,14628,16778,25478,14909,12042,15606
a,26696,10333,15012,16532,14633,16783,25472,14908,12044,15604
a,26696,10335,15013,16534,14636,16785,25474,14909,12045,15604
a,26696,10342,15018,16536,14644,16785,25468,14915,12045,15604
a,26696,10349,15021,16537,14650,16788,25459,14903,12042,15597
a,26696,10392,14985,16532,14631,16775,25396,14849,12004,15572
a,26696,10382,14941,16534,14547,16759,25395,14826,11993,15576
a,26696,10377,14939,16532,14542,16761,25391,14818,11988,15575
a,26696,10376,14933,16535,14526,16768,25400,14827,12000,15586
a,26696,11153,14915,16289,14271,16714,25485,14567,11816,15384
a,26696,11155,14926,16298,14284,16718,25483,14571,11835,15393
a,26696,11162,14933,16301,14294,16724,25485,14585,11854,15392
a,26696,11171,14933,16301,14304,16728,25479,14587,11866,15394
a,26695,10306,15004,16527,14623,16776,25476,14909,12044,15609
a,26695,10362,15023,16544,14655,16790,25450,14897,12037,15595
a,26695,11110,14651,16071,13886,16564,25379,14284,11668,15175
a,26695,11145,14901,16282,14251,16708,25479,14548,11790,15370
a,26694,10322,15010,16530,14630,16782,25476,14911,12046,15608
a,26693,10374,14993,16531,14652,16769,25438,14883,12035,15592
a,26692,11141,14882,16277,14214,16702,25451,14504,11775,15346
a,26682,11193,14981,16309,14412,16733,25371,14608,11869,15333
a,26672,9522,16674,16056,16367,16661,26567,16743,13814,14308
a,26666,9301,16689,15998,16393,16611,26568,16792,13811,14283
a,26664,8489,16572,16284,16487,16868,26611,16552,14074,14156
a,26663,9140,16685,15980,16376,16602,26567,16792,13792,14270
a,26663,9508,16670,16065,16365,16667,26568,16736,13811,14316
a,26663,9525,16668,16071,16361,16673,26571,16728,13812,14315
a,26663,8501,16574,16262,16488,16855,26608,16552,14073,14150
a,26663,8504,16574,16265,16489,16856,26608,16551,14073,14159
a,26663,8512,16573,16274,16490,16862,26609,16551,14074,14164
a,26663,8523,16572,16276,16491,16865,26610,16552,14073,14156
a,26662,9735,16614,16320,16328,16841,26560,16610,13849,14404
a,26662,8507,16573,16267,16491,16855,26609,16551,14073,14153
a,26662,8495,16572,16280,16488,16865,26611,16551,14074,14158
a,26661,8504,16574,16271,16490,16858,26609,16551,14073,14163
a,26661,8500,16574,16272,16489,16861,26609,16550,14073,14159
a,26660,9703,16618,16273,16320,16818,26567,16616,13836,14396
a,26659,23122,14818,14942,12842,16325,15944,13820,11439,14072
a,26659,9382,16689,16012,16395,16620,26563,16785,13816,14291
a,26659,9724,16611,16292,16318,16830,26562,16606,13839,14395
a,26659,8510,16574,16259,16488,16851,26606,16550,14070,14148
a,26658,11145,14862,16274,14166,16703,25413,14470,11759,15324
a,26658,9621,16613,16280,16317,16820,26568,16613,13836,14391
a,26657,9731,16611,16296,16322,16835,26566,16608,13844,14394
a,26657,8494,16578,16212,16486,16818,26612,16546,14063,14135
a,26655,22814,14795,14964,12833,16312,15951,13839,11431,14050
a,26655,8474,16580,16199,16483,16812,26610,16547,14060,14141
a,26655,8501,16578,16215,16485,16818,26610,16545,14061,14138
a,26655,8488,16577,16219,16486,16823,26609,16547,14067,14140
a,26654,9778,16614,16332,16330,16844,26560,16613,13852,14407
a,26654,8450,16588,16125,16477,16752,26608,16539,14041,14102
a,26654,8456,16587,16131,16479,16756,26611,16542,14043,14096
a,26654,8479,16579,16199,16483,16810,26612,16543,14058,14147
a,26654,8476,16578,16204,16483,16814,26610,16546,14060,14150
a,26653,11152,14846,16274,14103,16698,25384,14434,11735,15286
a,26653,8474,16584,16146,16480,16768,26609,16543,14045,14105
a,26653,8476,16585,16149,16481,16770,26610,16543,14048,14115
a,26653,8475,16583,16157,16480,16778,26610,16543,14052,14115
a,26653,8485,16581,16160,16479,16782,26608,16542,14053,14111
a,26653,8481,16581,16167,16479,16786,26611,16544,14053,14107
a,26653,8486,16582,16172,16477,16793,26609,16542,14054,14121
a,26653,8498,16577,16218,16485,16821,26612,16549,14065,14138
a,26653,8489,16577,16221,16487,16825,26609,16548,14064,14140
a,26652,9831,16605,16360,16327,16860,26563,16604,13859,14410
a,26652,8466,16586,16133,16478,16761,26608,16543,14043,14106
a,26652,8471,16582,16150,16478,16775,26610,16542,14049,14118
a,26652,8481,16582,16158,16478,16778,26609,16543,14052,14115
a,26652,8488,16580,16163,16478,16784,26609,16544,14054,14113
a,26652,8486,16581,16170,16478,16789,26608,16543,14052,14115
a,26652,8487,16580,16196,16482,16809,26610,16545,14059,14137
a,26652,8492,16575,16205,16482,16815,26606,16545,14060,14144
a,26650,9836,16608,16356,16330,16859,26561,16609,13861,14415
a,26649,11195,14995,16321,14436,16745,25301,14598,11874,15301
a,26649,11192,14990,16324,14434,16746,25282,14586,11867,15292
a,26649,11191,14980,16338,14442,16747,25269,14574,11867,15285
a,26649,9821,16611,16352,16330,16854,26562,16610,13860,14410
a,26649,8433,16587,16117,16476,16741,26612,16542,14040,14102
a,26648,22693,14757,14937,12822,16304,16031,13915,11503,14111
a,26648,11195,14986,16309,14424,16736,25352,14605,11870,15325
a,26648,9807,16612,16337,16332,16847,26563,16613,13856,14411
a,26648,9816,16611,16345,16332,16849,26562,16612,13858,14413
a,26647,9817,16612,16347,16332,16852,26562,16610,13859,14409
a,26647,8454,16587,16120,16476,16746,26610,16541,14040,14097
a,26646,10395,14931,14703,14601,16571,26234,15259,11669,14808
a,26646,11197,14988,16320,14424,16742,25305,14595,11864,15299
a,26646,9702,16626,16234,16314,16796,26572,16626,13825,14387
a,26646,9690,16622,16244,16315,16801,26572,16622,13829,14374
a,26646,8442,16586,16112,16477,16739,26608,16540,14040,14093
a,26645,9671,15299,15235,14949,16741,23784,13955,10785,13498
a,26645,11191,14991,16312,14428,16739,25337,14596,11871,15312
a,26645,9668,16626,16239,16314,16800,26571,16623,13825,14387
a,26644,9702,16622,16250,16315,16803,26572,16621,13829,14376
a,26644,8457,16586,16104,16475,16731,26612,16539,14038,14104
a,26644,8448,16586,16109,16474,16738,26609,16541,14037,14095
a,26642,23309,14801,14964,12849,16333,15935,13846,11418,13978
a,26642,9674,15298,15240,14950,16742,24580,14482,11142,14037
a,26642,11196,14996,16318,14427,16740,25316,14603,11867,15308
a,26641,9673,15300,15236,14948,16740,24082,14475,11121,13934
a,26641,11191,14995,16316,14430,16739,25320,14600,11869,15301
a,26640,9720,16616,16266,16320,16814,26567,16617,13834,14386
a,26640,8437,16593,15971,16470,16614,26600,16541,14016,14041
a,26640,8431,16593,15996,16470,16637,26602,16540,14021,14052
a,26639,8430,16592,15979,16470,16620,26598,16540,14016,14042
a,26639,8425,16593,15984,16469,16626,26598,16539,14017,14048
a,26638,9664,15287,15205,14937,16732,25385,14952,11501,14483
a,26638,9694,16630,16217,16315,16789,26573,16631,13825,14378
a,26638,8437,16591,16003,16472,16642,26604,16541,14023,14058
a,26637,8432,16594,15965,16470,16610,26601,16540,14014,14035
a,26637,8439,16591,15988,16471,16633,26603,16542,14018,14049
a,26637,8436,16591,16009,16471,16648,26606,16540,14023,14057
a,26636,9671,15298,15234,14947,16740,23865,14052,10720,13368
a,26636,9845,15992,26564,16615,20739,19959,15116,14760,16076
a,26636,9711,16621,16253,16319,16807,26569,16620,13832,14382
a,26636,9715,16620,16258,16318,16808,26568,16620,13834,14378
a,26636,9722,16620,16262,16320,16811,26565,16619,13834,14389
a,26634,9661,15288,15207,14938,16732,25334,14930,11483,14463
a,26632,9664,15292,15215,14941,16734,25285,14915,11470,14449
a,26632,9555,16661,16097,16352,16692,26571,16710,13814,14324
a,26632,8414,16595,15954,16470,16605,26602,16540,14012,14032
a,26631,9663,15292,15220,14941,16735,25259,14887,11450,14417
a,26631,9660,15292,15224,14941,16736,25206,14842,11419,14387
a,26631,9664,15294,15227,14945,16736,25148,14824,11402,14362
a,26631,9463,16687,16020,16388,16630,26567,16773,13814,14293
